PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
42561913,A complete diploid human genome benchmark for personalized genomics,"Hansen NF, Dwarshuis N, Ji HJ, Rhie A, Loucks H, Logsdon GA, Vollger MR, Storer JM, Kim J, Adam E, Altemose N, Antipov D, Asri M, Barreira S, Bohaczuk SC, Bzikadze AV, Carioscia SA, Carroll A, Chao KH, Chu Y, Das A, Ebert P, English A, Fleharty M, Fleming LE, Formenti G, Guarracino A, Hartley GA, Jenike K, Kalleberg J, Kang Y, King R, Lipovac J, Mastoras M, Mitchell MW, Negi S, Olson ND, Oshima KK, Paulin LF, Pickett BD, Porubsky D, Ranchalis J, Ranjan D, Rautiainen M, Riethman H, Schnabel RD, Sedlazeck FJ, Shafin K, Sikic M, Solar SJ, Sweeten AP, Timp W, Wagner J, Yoo D, Zhou Y, Garrison E, Eichler EE, Schatz MC, Stergachis AB, O'Neill RJ, Miga KH, Salzberg SL, Koren S, Zook JM, Phillippy AM.",Cell. 2026 Aug 6;189(16):4857-4875.e31. doi: 10.1016/j.cell.2026.06.016.,Hansen NF,Cell,2026,2026-08-06,PMC13456413,NIHMS2189544,10.1016/j.cell.2026.06.016
42539208,HPRC2: A human pangenome reference with near-complete coverage of common genetic variation,"Lucas JK, Hebbar P, Liao WW, Macias-Velasco JF, Novak AM, Asri M, Balacco JR, Blair AP, Ebler J, Gardner JMV, Geleta M, Groza C, Guarracino A, Heringer P, Hickey G, Lu S, Marin MG, Markovic C, Mastoras M, Mayoud C, McNulty B, Menendez JM, Minkina A, Mohanty SK, Monlong J, Munson KM, Oshima KK, Porubsky D, Ranallo-Benavidez TR, Seligmann WE, Shemirani R, Violich I, Yoo D, Zhuo X, Albracht D, Alexandrov IA, Allen J, Alsheikh-Ali AA, Andrews C, Antipov D, Antonacci-Fulton L, Arguello A, Ayllon M, Belter EA, Bender HD, Bolognini D, Bonini KE, Buonaiuto S, Cao S, Cartney AMM, Chang PC, Chang X, Cheema J, Ciofi C, Clawson H, Cody S, Colonna V, Conwell HC, Diekhans M, Diroma MA, Dong Z, Dubocanin D, Eizenga JM, Eskandar P, Ferro E, Ford SM, Ford WW, Frankish A, Freeberg MA, Fu Q, Gao S, Gao Y, Garcia GH, Garcia OA, Garza JE, Ghorbani M, Graves-Lindsay TA, Gu B, Haggerty L, Hansen NF, Hao Y, Hillaker TL, Hossain SN, Huang N, Hunt SE, Hunt T, Jafarzadeh N, Jain N, Jehangir M, Jiang J, Kim J, Koo B, Kremitzki M, Li D, Li R, Lin J, Liu T, Lorig-Roach R, Loucks H, Loveland JE, et al.",bioRxiv [Preprint]. 2026 Jul 22:2026.07.21.739710. doi: 10.64898/2026.07.21.739710.,Lucas JK,bioRxiv,2026,2026-08-01,PMC13419748,,10.64898/2026.07.21.739710
42549015,Optimally controlled nuclear magnetic resonance (NMR) in electrochemistry: Larmor versus nutation frequency selective spin excitation for locally selective NMR experiments,"Kochs JF, Römer AJ, Schatz M, Streun M, Jovanovic S, Eichel RA, Köcher SS, Granwehr J.",Magn Reson (Gott). 2026 Jul 17;7(2):113-123. doi: 10.5194/mr-7-113-2026. eCollection 2026.,Kochs JF,Magn Reson (Gott),2026,2026-08-04,PMC13430427,,10.5194/mr-7-113-2026
42457959,An encyclopedia of human enhancer-gene regulatory interactions,"Gschwind AR, Mualim KS, Karbalayghareh A, Sheth MU, Dey KK, Jagoda E, Nurtdinov RN, Xi W, Tan AS, Galante J, Jones H, Ma XR, Yao D, Amgalan D, Ray J, Munger CJ, Nasser J, Avsec Ž, James BT, Shamim MS, Durand NC, Rao SSP, Mahajan R, Doughty BR, Andreeva K, Ulirsch JC, Fan K, Perez EM, Nguyen TC, Kelley DR, Finucane HK, Moore JE, Weng Z, Kellis M, Bassik MC, Ustun B, Price AL, Beer MA, Guigó R, Stamatoyannopoulos JA, Lieberman Aiden E, Greenleaf WJ, Leslie CS, Steinmetz LM, Kundaje A, Engreitz JM.",Nature. 2026 Jul 15:10.1038/s41586-026-10781-4. doi: 10.1038/s41586-026-10781-4. Online ahead of print.,Gschwind AR,Nature,2026,2026-07-15,PMC13471189,NIHMS2191683,10.1038/s41586-026-10781-4
42465356,Navigating the pangenome coordinate system with Shredtools,"Shivakumar VS, Langmead B.",bioRxiv [Preprint]. 2026 Jul 8:2026.07.03.736354. doi: 10.64898/2026.07.03.736354.,Shivakumar VS,bioRxiv,2026,2026-07-17,PMC13370438,,10.64898/2026.07.03.736354
42465392,SpliSync: Genomic language model-driven splice site correction of long RNA sequencing reads,"Lui WW, Florea L.",bioRxiv [Preprint]. 2026 Jul 6:2026.07.04.736518. doi: 10.64898/2026.07.04.736518.,Lui WW,bioRxiv,2026,2026-07-17,PMC13370377,,10.64898/2026.07.04.736518
42401580,A multi-fidelity tabular prior-data fitted network model for accurate prediction and uncertainty quantification,"Shi Y, Liu C, Yu A, Lu Z, Elias S, Cheng K, Kou J, Chen X, Liu Y, Huang HZ, Beer M.",Nat Commun. 2026 Jul 4;17(1):8308. doi: 10.1038/s41467-026-75163-w.,Shi Y,Nat Commun,2026,2026-07-04,PMC13469094,,10.1038/s41467-026-75163-w
42461016,BatchSVG: identifying batch-biased genes in the application of spatially variable gene detection,"Shah K, Hou C, Thompson JR, Hicks SC.",Bioinformatics. 2026 Jul 2;42(7):btag522. doi: 10.1093/bioinformatics/btag522.,Shah K,Bioinformatics,2026,2026-07-16,PMC13412158,,10.1093/bioinformatics/btag522
42391265,Another 10 years of PLOS Computational Biology: A data-driven reflection on trends in genomics research,Fan J.,PLoS Comput Biol. 2026 Jul 2;22(7):e1014471. doi: 10.1371/journal.pcbi.1014471. eCollection 2026 Jul.,Fan J,PLoS Comput Biol,2026,2026-07-02,PMC13327146,,10.1371/journal.pcbi.1014471
42312341,Movi 2: fast and space-efficient queries on pangenomes,"Zakeri M, Brown NK, Gagie T, Langmead B.",Bioinformatics. 2026 Jul 2;42(7):btag362. doi: 10.1093/bioinformatics/btag362.,Zakeri M,Bioinformatics,2026,2026-06-18,PMC13379629,,10.1093/bioinformatics/btag362
